default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89
0,0.301,-0.077,-0.078,-0.246,-0.341,-0.342,-0.345,-0.346,-0.346,-0.367,-0.503
0.100,0.700,0.699,0.469,0.083,0.075,0.074,0.054,-0.093,-0.180,-0.240,-0.280
0.200,1.163,1.162,0.759,0.396,0.364,0.257,0.256,0.200,0.109,0.051,-0.030
0.300,1.751,1.625,1.401,0.973,0.768,0.639,0.560,0.559,0.559,0.558,0.544
0.400,2.650,2.323,2.076,1.690,1.396,1.087,0.981,0.977,0.939,0.938,0.820
0.500,3.300,3.157,2.801,2.593,2.186,1.931,1.767,1.611,1.684,1.724,1.610
